-1	-1	13
-1	-0.9798	12.879
-1	-0.9596	12.759
-1	-0.93939	12.64
-1	-0.91919	12.522
-1	-0.89899	12.404
-1	-0.87879	12.287
-1	-0.85859	12.172
-1	-0.83838	12.056
-1	-0.81818	11.942
-1	-0.79798	11.829
-1	-0.77778	11.716
-1	-0.75758	11.604
-1	-0.73737	11.493
-1	-0.71717	11.383
-1	-0.69697	11.274
-1	-0.67677	11.165
-1	-0.65657	11.057
-1	-0.63636	10.95
-1	-0.61616	10.844
-1	-0.59596	10.739
-1	-0.57576	10.635
-1	-0.55556	10.531
-1	-0.53535	10.428
-1	-0.51515	10.326
-1	-0.49495	10.225
-1	-0.47475	10.124
-1	-0.45455	10.025
-1	-0.43434	9.926
-1	-0.41414	9.8281
-1	-0.39394	9.7309
-1	-0.37374	9.6346
-1	-0.35354	9.5391
-1	-0.33333	9.4444
-1	-0.31313	9.3506
-1	-0.29293	9.2575
-1	-0.27273	9.1653
-1	-0.25253	9.0739
-1	-0.23232	8.9833
-1	-0.21212	8.8935
-1	-0.19192	8.8045
-1	-0.17172	8.7164
-1	-0.15152	8.629
-1	-0.13131	8.5425
-1	-0.11111	8.4568
-1	-0.090909	8.3719
-1	-0.070707	8.2878
-1	-0.050505	8.2046
-1	-0.030303	8.1221
-1	-0.010101	8.0405
-1	0.010101	7.9597
-1	0.030303	7.8797
-1	0.050505	7.8005
-1	0.070707	7.7222
-1	0.090909	7.6446
-1	0.11111	7.5679
-1	0.13131	7.492
-1	0.15152	7.4169
-1	0.17172	7.3426
-1	0.19192	7.2692
-1	0.21212	7.1965
-1	0.23232	7.1247
-1	0.25253	7.0537
-1	0.27273	6.9835
-1	0.29293	6.9141
-1	0.31313	6.8455
-1	0.33333	6.7778
-1	0.35354	6.7108
-1	0.37374	6.6447
-1	0.39394	6.5794
-1	0.41414	6.5149
-1	0.43434	6.4513
-1	0.45455	6.3884
-1	0.47475	6.3264
-1	0.49495	6.2652
-1	0.51515	6.2048
-1	0.53535	6.1452
-1	0.55556	6.0864
-1	0.57576	6.0285
-1	0.59596	5.9713
-1	0.61616	5.915
-1	0.63636	5.8595
-1	0.65657	5.8048
-1	0.67677	5.7509
-1	0.69697	5.6979
-1	0.71717	5.6456
-1	0.73737	5.5942
-1	0.75758	5.5436
-1	0.77778	5.4938
-1	0.79798	5.4449
-1	0.81818	5.3967
-1	0.83838	5.3494
-1	0.85859	5.3028
-1	0.87879	5.2571
-1	0.89899	5.2122
-1	0.91919	5.1681
-1	0.93939	5.1249
-1	0.9596	5.0824
-1	0.9798	5.0408
-1	1	5
-0.9798	-1	12.92
-0.9798	-0.9798	12.799
-0.9798	-0.9596	12.679
-0.9798	-0.93939	12.56
-0.9798	-0.91919	12.441
-0.9798	-0.89899	12.324
-0.9798	-0.87879	12.207
-0.9798	-0.85859	12.091
-0.9798	-0.83838	11.976
-0.9798	-0.81818	11.862
-0.9798	-0.79798	11.748
-0.9798	-0.77778	11.636
-0.9798	-0.75758	11.524
-0.9798	-0.73737	11.413
-0.9798	-0.71717	11.303
-0.9798	-0.69697	11.193
-0.9798	-0.67677	11.085
-0.9798	-0.65657	10.977
-0.9798	-0.63636	10.87
-0.9798	-0.61616	10.764
-0.9798	-0.59596	10.659
-0.9798	-0.57576	10.554
-0.9798	-0.55556	10.45
-0.9798	-0.53535	10.348
-0.9798	-0.51515	10.246
-0.9798	-0.49495	10.144
-0.9798	-0.47475	10.044
-0.9798	-0.45455	9.9444
-0.9798	-0.43434	9.8456
-0.9798	-0.41414	9.7477
-0.9798	-0.39394	9.6505
-0.9798	-0.37374	9.5542
-0.9798	-0.35354	9.4587
-0.9798	-0.33333	9.364
-0.9798	-0.31313	9.2702
-0.9798	-0.29293	9.1771
-0.9798	-0.27273	9.0849
-0.9798	-0.25253	8.9935
-0.9798	-0.23232	8.9029
-0.9798	-0.21212	8.8131
-0.9798	-0.19192	8.7241
-0.9798	-0.17172	8.636
-0.9798	-0.15152	8.5486
-0.9798	-0.13131	8.4621
-0.9798	-0.11111	8.3764
-0.9798	-0.090909	8.2915
-0.9798	-0.070707	8.2074
-0.9798	-0.050505	8.1242
-0.9798	-0.030303	8.0417
-0.9798	-0.010101	7.9601
-0.9798	0.010101	7.8793
-0.9798	0.030303	7.7993
-0.9798	0.050505	7.7201
